"Reference","MF","MPN","Footprint","Value","Datasheet","Qty","DNP"
"J4","Hirose","BM28B0.6-6DS/2-0.35V(51)","BoardConn_6S_BM28B0.6-6DS2-0.35V51:BoardConn_6S_BM28B0.6-6DS2-0.35V51","BM28B0.6-6DS_2-0.35V_51_","","1",""
"L1","Abracon","AOTA-N160808S-2R2MT ","Inductor_SMD:L_0603_1608Metric","2.2uH","","1",""
