Original Manufacturer,Original MPN,Candidate Manufacturer,Candidate MPN,Decision,PDC Justification,Engineer Comment,Product URL,Provider,Knowledge Type,Relationship Type,Relationship Group,Manufacturer Alias,Source Manufacturer Record,Source MPN Record,Knowledge ID,Review ID,Record ID,Effective From,Recorded At UTC,Supersedes,Reviewed By,Reviewed Date
TE Connectivity,BAT-HLD-001-THM,TE Connectivity Linx,BAT-HLD-001-THM,Accept,Returned MPN matches source MPN; Manufacturer similarity score 0.8205; Candidate found by MPN-only fallback,Packaging difference only,https://www.digikey.com/en/products/detail/te-connectivity-linx/BAT-HLD-001-THM/3044009,DigiKey,Approved Part,Procurement Variant,PVG-2AEFB3F1CF,,TE Connectivity,BAT-HLD-001-THM,AP-12A67E940A,REV-2D64D8EC14,PMR-000009,04-Aug,2026-08-07T18:42:50Z,,Ken,04-Aug
,,TE Connectivity Linx,BAT-HLD-001-THM-TR,Accept,Manufacturer similarity score 0.8205; Candidate found by MPN-only fallback,Packaging difference only,https://www.digikey.com/en/products/detail/te-connectivity-linx/BAT-HLD-001-THM-TR/22570133,DigiKey,Approved Part,Procurement Variant,PVG-2AEFB3F1CF,,TE Connectivity,BAT-HLD-001-THM,AP-44C635E371,REV-2D64D8EC14,PMR-000009,04-Aug,2026-08-07T18:42:50Z,,Ken,04-Aug
TI,ADS1232IPW,Texas Instruments,ADS1232IPW,Accept,Returned MPN matches source MPN; Manufacturer similarity score 0.2105; Candidate found by MPN-only fallback,Packaging difference only,https://www.digikey.com/en/products/detail/texas-instruments/ADS1232IPW/857691,DigiKey,Approved Part,Procurement Variant,PVG-6404C9368E,,TI,ADS1232IPW,AP-99EFC30071,REV-B7413D4183,PMR-000006,04-Aug,2026-08-07T18:42:50Z,,Ken,04-Aug
,,Texas Instruments,ADS1232IPWG4,Accept,Manufacturer similarity score 0.2105; Candidate found by MPN-only fallback,Packaging difference only,https://www.digikey.com/en/products/detail/texas-instruments/ADS1232IPWG4/1689137,DigiKey,Approved Part,Procurement Variant,PVG-6404C9368E,,TI,ADS1232IPW,AP-FE1C1414E6,REV-B7413D4183,PMR-000006,04-Aug,2026-08-07T18:42:50Z,,Ken,04-Aug
,,Texas Instruments,ADS1232IPWR,Accept,Manufacturer similarity score 0.2105; Candidate found by MPN-only fallback,Packaging difference only,https://www.digikey.com/en/products/detail/texas-instruments/ADS1232IPWR/1689138,DigiKey,Approved Part,Procurement Variant,PVG-6404C9368E,,TI,ADS1232IPW,AP-F6E32F68E6,REV-B7413D4183,PMR-000006,04-Aug,2026-08-07T18:42:50Z,,Ken,04-Aug
,,Texas Instruments,ADS1232IPWRG4,Accept,Manufacturer similarity score 0.2105; Candidate found by MPN-only fallback,Packaging difference only,https://www.digikey.com/en/products/detail/texas-instruments/ADS1232IPWRG4/1689139,DigiKey,Approved Part,Procurement Variant,PVG-6404C9368E,,TI,ADS1232IPW,AP-DCC84F94F5,REV-B7413D4183,PMR-000006,04-Aug,2026-08-07T18:42:50Z,,Ken,04-Aug
