Alias Key,Observed Manufacturer,Suggested Preferred Name,Status
amp,AMP,AMP,Review Required
amp,Amp,AMP,Review Required
kemet,KEMET,KEMET,Review Required
kemet,Kemet,KEMET,Review Required
onsemi,onsemi,onsemi,Review Required
onsemi,OnSemi,onsemi,Review Required
yageo,Yageo,Yageo,Review Required
yageo,YAGEO,Yageo,Review Required
