Record ID,Record Status,Manufacturer,Manufacturer Part Number,Legacy AIPN,Legacy AIPN Old,Legacy Description,Legacy Family,Legacy Datasheet,Import Source,Source Sheet,Duplicate Source Rows
PMR-000021,Imported - Pending Verification,Wurth,885012206034,,CAP-0603-1n-16v-X7R-10%-00,CAP CER 1000PF 16V X7R 0603,CAP,https://www.we-online.com/components/products/datasheet/885012206034.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No
PMR-000022,Imported - Pending Verification,Würth Elektronik,885012007008,,CAP-0805-1n-10v-C0G/NP0-5%-00,CAP CER 1000PF 10V C0G/NP0 0805,CAP,https://www.we-online.com/components/products/datasheet/885012007008.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No
PMR-000023,Imported - Pending Verification,EPCOS - TDK Electronics,B32529C8102K289,,CAP-P5.00-1n-630vdc-PET-10%-00,CAP FILM 1000PF 10% 630VDC RAD,CAP,https://product.tdk.com/en/system/files/dam/doc/product/capacitor/film/mkt/data_sheet/20/20/db/fc_2009/b32520_529.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No
PMR-000024,Imported - Pending Verification,Würth Elektronik,885012207062,,CAP-0805-2n2-25v-X7R-10%-00,CAP CER 2200PF 25V X7R 0805,CAP,https://www.we-online.com/components/products/datasheet/885012207062.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No
PMR-000025,Imported - Pending Verification,YAGEO,CC0402KRX7R9BB103,,,CAP CER 10000PF 50V X7R 0402,CAP,https://yageogroup.com/content/datasheet/asset/file/UPY-GPHC_X7R_6_3V-TO-250V,AIPN Parts Master.xlsx,My Lists Worksheet,No
PMR-000026,Imported - Pending Verification,Wurth,885012206014,,CAP-0603-10n-10v-X7R-10%-00,CAP CER 10000PF 10V X7R 0603,CAP,https://www.we-online.com/components/products/datasheet/885012206014.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No
PMR-000027,Imported - Pending Verification,KEMET,C0805C103J4RECAUTO7210,,CAP-0805-10n-16v-X7R-5%-00,CAP CER 0805 10NF 16V X7R 5%,CAP,https://yageogroup.com/content/datasheet/asset/file/KEM_C1090_X7R_ESD,AIPN Parts Master.xlsx,My Lists Worksheet,No
PMR-000028,Imported - Pending Verification,KEMET,R413I21000000M,,CAP-P15.0mm-10n-1kv-Film-20%-00,CAP FILM 10000PF 20% 1KVDC RAD,CAP,https://yageogroup.com/content/datasheet/asset/file/KEM_F3100_R41_Y2_300,AIPN Parts Master.xlsx,My Lists Worksheet,No
PMR-000029,Imported - Pending Verification,YAGEO,CC0402KRX7R9BB104,,,CAP CER 0.1UF 50V X7R 0402,CAP,https://yageogroup.com/content/datasheet/asset/file/UPY-GPHC_X7R_6_3V-TO-250V,AIPN Parts Master.xlsx,My Lists Worksheet,No
PMR-000030,Imported - Pending Verification,Wurth,885012206071,,CAP-0603-100n-25v-X7R-10%-00,CAP CER 0.1UF 25V X7R 0603,CAP,https://www.we-online.com/components/products/datasheet/885012206071.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No
PMR-000031,Imported - Pending Verification,YAGEO,CC0805JRX7R7BB104,,CAP-0805-100n-16v-X7R-5%-00,CAP CER 0.1UF 16V X7R 0805,CAP,https://yageogroup.com/content/datasheet/asset/file/UPY-GPHC_X7R_6_3V-TO-250V,AIPN Parts Master.xlsx,My Lists Worksheet,No
PMR-000032,Imported - Pending Verification,Würth Elektronik,885012207098,,CAP-0805-100n-50v-X7R-10%-00,CAP CER 0.1UF 50V X7R 0805,CAP,https://www.we-online.com/components/products/datasheet/885012207098.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No
PMR-000033,Imported - Pending Verification,KYOCERA AVX,TPSA224K035R6000,,CAP-1206-220n-35v-Tant-10%-00,CAP TANT 0.22UF 10% 35V 1206,CAP,https://datasheets.kyocera-avx.com/TPS.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No
PMR-000034,Imported - Pending Verification,Samsung Electro-Mechanics,CL10B105KO8NNNC,,CAP-0603-1u-16v-X7R-10%-00,CAP CER 1UF 16V X7R 0603,CAP,https://weblib.samsungsem.com/mlcc/mlcc-ec-data-sheet.do?partNumber=CL10B105KO8NNN,AIPN Parts Master.xlsx,My Lists Worksheet,No
PMR-000035,Imported - Pending Verification,Murata Electronics,NFM18PC105R0J3D,,CAP-0603-1u-6v3-FDT-20%-00,CAP FEEDTHRU 1UF 20% 6.3V 0603,CAP,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/NFM18PC105R0J3-01.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No
PMR-000036,Imported - Pending Verification,Würth Elektronik,885012207051,,CAP-0805-1u-16v-X7R-10%-00,CAP CER 1UF 16V X7R 0805,CAP,https://www.we-online.com/components/products/datasheet/885012207051.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No
PMR-000037,Imported - Pending Verification,Würth Elektronik,885012207078,,CAP-0805-1u-25v-X7R-10%-00,CAP CER 1UF 25V X7R 0805,CAP,https://www.we-online.com/components/products/datasheet/885012207078.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No
PMR-000038,Imported - Pending Verification,Murata,GRM155C61E475ME15J,,,CAP CER 4.7UF 25V X5S 0402,CAP,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM155C61E475ME15-01A.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No
PMR-000039,Imported - Pending Verification,Vishay Sprague,298D475X9010M2T,,CAP-0603-4u7-10v-Tant-10%-00,CAP TANT 4.7UF 10% 10V 0603,CAP,https://www.vishay.com/docs/40065/298d298w.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No
PMR-000040,Imported - Pending Verification,Murata Electronics,GRM188Z71C475KE21D,,CAP-0603-4u7-16v-X7R-10%-00,CAP CER 4.7UF 16V X7R 0603,CAP,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM188Z71C475KE21-01A.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No
PMR-000041,Imported - Pending Verification,Wurth,885012207053,,CAP-0805-4u7-16v-X7R-10%-00,CAP CER 4.7UF 16V X7R 0805,CAP,https://www.we-online.com/components/products/datasheet/885012207053.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No
PMR-000042,Imported - Pending Verification,Murata,GRM155R61A106ME11D,,,CAP CER 10UF 10V X5R 0402,CAP,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/8942/490_Chip_Multilayer_CAT2021_MLCC.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No
PMR-000043,Imported - Pending Verification,KYOCERA AVX,TCM1A106M8R-02,,CAP-0603-10u-10v-Tant-20%-00,CAP TANT 10UF 20% 10V 0603,CAP,https://datasheets.kyocera-avx.com/tc-series.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No
PMR-000044,Imported - Pending Verification,Samsung Electro-Mechanics,CL10A106MP8NNNC,,CAP-0603-10u-10v-X5R-20%-00,CAP CER 10UF 10V X5R 0603,CAP,https://www.samsungsem.com/resources/file/global/support/product_catalog/MLCC_2512.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No
PMR-000045,Imported - Pending Verification,Wurth,885012106006,,CAP-0603-10u-6v3-X5R-20%-00,CAP CER 10UF 6.3V X5R 0603,CAP,https://www.we-online.com/components/products/datasheet/885012106006.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No
PMR-000046,Imported - Pending Verification,Würth Elektronik,885012207026,,CAP-0805-10u-10v-X7R-10%-00,CAP CER 10UF 10V X7R 0805,CAP,https://www.we-online.com/components/products/datasheet/885012207026.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No
PMR-000047,Imported - Pending Verification,Samsung Electro-Mechanics,CL21B106KOQNNNE,,CAP-0805-10u-16v-X7R-10%-00,CAP CER 10UF 16V X7R 0805,CAP,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/926/CL_Series_MLCC_ds.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No
PMR-000048,Imported - Pending Verification,YAGEO,CC0805KPX5R5BB106,,CAP-0805-10u-6v3-X5R-10%-00,CAP CER 10UF 6.3V X5R 0805,CAP,https://yageogroup.com/content/datasheet/asset/file/UPY-GPHC_X5R_4V-TO-50V,AIPN Parts Master.xlsx,My Lists Worksheet,No
PMR-000049,Imported - Pending Verification,KYOCERA AVX,TAJA106K010RNJ,,CAP-1206-10u-10v-Tant-10%-00,CAP TANT 10UF 10% 10V 1206,CAP,https://datasheets.kyocera-avx.com/TAJ.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No
PMR-000050,Imported - Pending Verification,Samsung Electro-Mechanics,CL31B106KOHNFNE,,CAP-1206-10u-16v-X7R-10%-00,CAP CER 10UF 16V X7R 1206,CAP,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/658/CL31B106KOHNFNE_Spec.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No
PMR-000051,Imported - Pending Verification,Würth Elektronik,875105240001,,CAP-SMD-10u-10v-PELE-20%-00,CAP ALUM POLY 10UF 20% 10V SMD,CAP,https://www.we-online.com/components/products/datasheet/875105240001.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No
PMR-000052,Imported - Pending Verification,KYOCERA AVX,TLCL226M006XTA,,CAP-0603-22u-6v3-Tant-20%-00,CAP TANT 22UF 20% 6.3V 0603,CAP,https://datasheets.kyocera-avx.com/TLC.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No
PMR-000053,Imported - Pending Verification,Walsin Technology Corporation,0603X226M6R3CT,,CAP-0603-22u-6v3-X7R-20%-00,CAP CER 22UF 6.3V X5R 0603,CAP,https://www.passivecomponent.com/wp-content/uploads/datasheet/WTC_MLCC_General_Purpose.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No
PMR-000054,Imported - Pending Verification,KYOCERA AVX,TAJA226K010RNJ,,CAP-1206-22u-10v-Tant-10%-00,CAP TANT 22UF 10% 10V 1206,CAP,https://datasheets.kyocera-avx.com/TAJ.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No
PMR-000055,Imported - Pending Verification,Walsin Technology Corporation,1206B226K6R3CT,,CAP-1206-22u-6v3-X7R-10%-00,CAP CER 22UF 6.3V X7R 1206,CAP,https://www.passivecomponent.com/wp-content/uploads/datasheet/WTC_MLCC_General_Purpose.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No
