Record ID,Record Status,Manufacturer,Manufacturer Part Number,Legacy AIPN,Legacy AIPN Old,Legacy Description,Legacy Family,Legacy Datasheet,Import Source,Source Sheet,Duplicate Source Rows,Identity Key,Source Rows,Source Data JSON
PMR-000082,Imported - Pending Verification,GCT,USB4085-GF-A,,CON-THT-USBC-16+8-1-00 | CON-SMD-USBC-Top-16+8-1-00,CONN RCPT USB2.0 TYPE C 16+8POS,CON,https://gct.co/files/specs/usb4085-spec.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,Yes,gct | usb4085-gf-a,"83, 87","[{""source_row"":83,""values"":{""AIPN"":"""",""Family"":""CON"",""Value"":""24"",""Case"":"""",""Image"":"""",""Description"":""CONN RCPT USB2.0 TYPE C 16+8POS"",""Manufacturer Name"":""GCT"",""Manufacturer Part Number"":""USB4085-GF-A"",""Lifecycle"":""Active"",""Leadtime(WKS)"":""7"",""Case2"":""THT"",""Case3"":""THT"",""Case Displayed as"":""THT"",""Param #1"":""USBC"",""Param #2"":""16+8"",""Param #3"":""1"",""Param #4"":"""",""Rev"":""0"",""Params used"":""6"",""AIPN Occurrence"":""1"",""AIPN - OLD"":""CON-THT-USBC-16+8-1-00"",""LEN"":""22"",""Datasheet"":""https://gct.co/files/specs/usb4085-spec.pdf"",""RoHS Status"":""ROHS3 Compliant"",""Moisture Sensitivity Level (MSL)"":""Active"",""ECCN"":""EAR99"",""HTSUS"":""8536.69.4040"",""Country of Origin"":""China""}},{""source_row"":87,""values"":{""AIPN"":"""",""Family"":""CON"",""Value"":""24"",""Case"":"""",""Image"":"""",""Description"":""CONN RCPT USB2.0 TYPE C 16+8POS"",""Manufacturer Name"":""GCT"",""Manufacturer Part Number"":""USB4085-GF-A"",""Lifecycle"":""Active"",""Leadtime(WKS)"":""7"",""Case2"":""SMD"",""Case3"":""SMD"",""Case Displayed as"":""SMD"",""Param #1"":""USBC"",""Param #2"":""Top"",""Param #3"":""16+8"",""Param #4"":""1"",""Rev"":""0"",""Params used"":""7"",""AIPN Occurrence"":""1"",""AIPN - OLD"":""CON-SMD-USBC-Top-16+8-1-00"",""LEN"":""26"",""Datasheet"":""https://gct.co/files/specs/usb4085-spec.pdf"",""RoHS Status"":""ROHS3 Compliant"",""Moisture Sensitivity Level (MSL)"":""Active"",""ECCN"":""EAR99"",""HTSUS"":""8536.69.4040"",""Country of Origin"":""China""}}]"
PMR-000124,Imported - Pending Verification,TI,OPA4391PWR,,ICS-SMD-OpAmp-4-Ch-00,"QUAD, MICROPOWER, HIGH SPEED-TO- | Standard (General Purpose) Amplifier 4 Circuit Push-Pull, Rail-to-Rail 14-TSSOP",ICS | OPA,https://www.ti.com/lit/ds/symlink/opa391.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,Yes,ti | opa4391pwr,"126, 157","[{""source_row"":126,""values"":{""AIPN"":"""",""Family"":""ICS"",""Value"":"""",""Case"":"""",""Image"":"""",""Description"":""QUAD, MICROPOWER, HIGH SPEED-TO-"",""Manufacturer Name"":""TI"",""Manufacturer Part Number"":""OPA4391PWR"",""Lifecycle"":""Active"",""Leadtime(WKS)"":""16"",""Case2"":""TSSOP-14"",""Case3"":""SMD"",""Case Displayed as"":""SMD"",""Param #1"":""OpAmp"",""Param #2"":""4-Ch"",""Param #3"":"""",""Param #4"":"""",""Rev"":""0"",""Params used"":""5"",""AIPN Occurrence"":""1"",""AIPN - OLD"":""ICS-SMD-OpAmp-4-Ch-00"",""LEN"":""21"",""Datasheet"":""https://www.ti.com/lit/ds/symlink/opa391.pdf"",""RoHS Status"":""ROHS3 Compliant"",""Moisture Sensitivity Level (MSL)"":""Active"",""ECCN"":""EAR99"",""HTSUS"":""8542.33.0001"",""Country of Origin"":""Malaysia""}},{""source_row"":157,""values"":{""AIPN"":"""",""Family"":""OPA"",""Value"":"""",""Case"":""TSSOP-14"",""Image"":"""",""Description"":""Standard (General Purpose) Amplifier 4 Circuit Push-Pull, Rail-to-Rail 14-TSSOP"",""Manufacturer Name"":""TI"",""Manufacturer Part Number"":""OPA4391PWR"",""Lifecycle"":""Active"",""Leadtime(WKS)"":""16"",""Case2"":"""",""Case3"":"""",""Case Displayed as"":"""",""Param #1"":"""",""Param #2"":"""",""Param #3"":"""",""Param #4"":"""",""Rev"":""0"",""Params used"":""2"",""AIPN Occurrence"":""30"",""AIPN - OLD"":"""",""LEN"":""5"",""Datasheet"":""https://www.ti.com/lit/ds/symlink/opa391.pdf"",""RoHS Status"":""ROHS3 Compliant"",""Moisture Sensitivity Level (MSL)"":""Active"",""ECCN"":""EAR99"",""HTSUS"":""8542.33.0001"",""Country of Origin"":""Malaysia""}}]"
PMR-000160,Imported - Pending Verification,Microchip Technology,MCP4461-104E/ML,,ICS-POT-100K-4Ch-12C-257taps-00,IC DIG POT 100K 20-QFN,POT,https://ww1.microchip.com/downloads/en/DeviceDoc/22265a.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,Yes,microchiptechnology | mcp4461-104e/ml,"163, 164","[{""source_row"":163,""values"":{""AIPN"":"""",""Family"":""POT"",""Value"":""100000"",""Case"":""QFN-20"",""Image"":"""",""Description"":""IC DIG POT 100K 20-QFN"",""Manufacturer Name"":""Microchip Technology"",""Manufacturer Part Number"":""MCP4461-104E/ML"",""Lifecycle"":""Active"",""Leadtime(WKS)"":""5"",""Case2"":""TSSOP-20"",""Case3"":""SMD"",""Case Displayed as"":""POT"",""Param #1"":""100K"",""Param #2"":""4Ch"",""Param #3"":""12C"",""Param #4"":""257taps"",""Rev"":""0"",""Params used"":""7"",""AIPN Occurrence"":""1"",""AIPN - OLD"":""ICS-POT-100K-4Ch-12C-257taps-00"",""LEN"":""31"",""Datasheet"":""https://ww1.microchip.com/downloads/en/DeviceDoc/22265a.pdf"",""RoHS Status"":""ROHS3 Compliant"",""Moisture Sensitivity Level (MSL)"":""Active"",""ECCN"":""EAR99"",""HTSUS"":""8542.39.0070"",""Country of Origin"":""Thailand""}},{""source_row"":164,""values"":{""AIPN"":"""",""Family"":""POT"",""Value"":"""",""Case"":""QFN-20"",""Image"":"""",""Description"":""IC DIG POT 100K 20-QFN"",""Manufacturer Name"":""Microchip Technology"",""Manufacturer Part Number"":""MCP4461-104E/ML"",""Lifecycle"":""Active"",""Leadtime(WKS)"":""5"",""Case2"":"""",""Case3"":"""",""Case Displayed as"":"""",""Param #1"":"""",""Param #2"":"""",""Param #3"":"""",""Param #4"":"""",""Rev"":""0"",""Params used"":""2"",""AIPN Occurrence"":""30"",""AIPN - OLD"":"""",""LEN"":""5"",""Datasheet"":""https://ww1.microchip.com/downloads/en/DeviceDoc/22265a.pdf"",""RoHS Status"":""ROHS3 Compliant"",""Moisture Sensitivity Level (MSL)"":""Active"",""ECCN"":""EAR99"",""HTSUS"":""8542.39.0070"",""Country of Origin"":""Thailand""}}]"
