MFG,MPN,Value,Datasheet,Footprint,Quantity,Reference,DNP,Grouping Basis,Source Rows,Source Data JSON
,,4.7nF,,Capacitor_SMD:C_0402_1005Metric,4,"C35, C36, C39, C41",No,MFG + Value + Footprint + DNP (MPN blank),"124, 126, 129, 130","[{""source_row"":124,""values"":{""Reference"":""C41"",""MF"":"""",""MPN"":"""",""Value"":""4.7nF"",""Datasheet"":"""",""Footprint"":""Capacitor_SMD:C_0402_1005Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":126,""values"":{""Reference"":""C39"",""MF"":"""",""MPN"":"""",""Value"":""4.7nF"",""Datasheet"":"""",""Footprint"":""Capacitor_SMD:C_0402_1005Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":129,""values"":{""Reference"":""C36"",""MF"":"""",""MPN"":"""",""Value"":""4.7nF"",""Datasheet"":"""",""Footprint"":""Capacitor_SMD:C_0402_1005Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":130,""values"":{""Reference"":""C35"",""MF"":"""",""MPN"":"""",""Value"":""4.7nF"",""Datasheet"":"""",""Footprint"":""Capacitor_SMD:C_0402_1005Metric"",""Qty"":""1"",""DNP"":""""}}]"
,,100pF,,Capacitor_SMD:C_0402_1005Metric,2,"C37, C38",No,MFG + Value + Footprint + DNP (MPN blank),"127, 128","[{""source_row"":127,""values"":{""Reference"":""C38"",""MF"":"""",""MPN"":"""",""Value"":""100pF"",""Datasheet"":"""",""Footprint"":""Capacitor_SMD:C_0402_1005Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":128,""values"":{""Reference"":""C37"",""MF"":"""",""MPN"":"""",""Value"":""100pF"",""Datasheet"":"""",""Footprint"":""Capacitor_SMD:C_0402_1005Metric"",""Qty"":""1"",""DNP"":""""}}]"
,,220pF,,Capacitor_SMD:C_0402_1005Metric,1,C40,No,MFG + Value + Footprint + DNP (MPN blank),125,"[{""source_row"":125,""values"":{""Reference"":""C40"",""MF"":"""",""MPN"":"""",""Value"":""220pF"",""Datasheet"":"""",""Footprint"":""Capacitor_SMD:C_0402_1005Metric"",""Qty"":""1"",""DNP"":""""}}]"
,,10uF,,Capacitor_SMD:C_0402_1005Metric,2,"C42, C65",No,MFG + Value + Footprint + DNP (MPN blank),"100, 123","[{""source_row"":100,""values"":{""Reference"":""C65"",""MF"":"""",""MPN"":"""",""Value"":""10uF"",""Datasheet"":"""",""Footprint"":""Capacitor_SMD:C_0402_1005Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":123,""values"":{""Reference"":""C42"",""MF"":"""",""MPN"":"""",""Value"":""10uF"",""Datasheet"":"""",""Footprint"":""Capacitor_SMD:C_0402_1005Metric"",""Qty"":""1"",""DNP"":""""}}]"
,,1uF,,Capacitor_SMD:C_0402_1005Metric,1,C43,No,MFG + Value + Footprint + DNP (MPN blank),122,"[{""source_row"":122,""values"":{""Reference"":""C43"",""MF"":"""",""MPN"":"""",""Value"":""1uF"",""Datasheet"":"""",""Footprint"":""Capacitor_SMD:C_0402_1005Metric"",""Qty"":""1"",""DNP"":""""}}]"
,,1nF,,Capacitor_SMD:C_0402_1005Metric,2,"C44, C66",No,MFG + Value + Footprint + DNP (MPN blank),"99, 121","[{""source_row"":99,""values"":{""Reference"":""C66"",""MF"":"""",""MPN"":"""",""Value"":""1nF"",""Datasheet"":"""",""Footprint"":""Capacitor_SMD:C_0402_1005Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":121,""values"":{""Reference"":""C44"",""MF"":"""",""MPN"":"""",""Value"":""1nF"",""Datasheet"":"""",""Footprint"":""Capacitor_SMD:C_0402_1005Metric"",""Qty"":""1"",""DNP"":""""}}]"
,,10pF,,Capacitor_SMD:C_0402_1005Metric,2,"C45, C46",No,MFG + Value + Footprint + DNP (MPN blank),"119, 120","[{""source_row"":119,""values"":{""Reference"":""C46"",""MF"":"""",""MPN"":"""",""Value"":""10pF"",""Datasheet"":"""",""Footprint"":""Capacitor_SMD:C_0402_1005Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":120,""values"":{""Reference"":""C45"",""MF"":"""",""MPN"":"""",""Value"":""10pF"",""Datasheet"":"""",""Footprint"":""Capacitor_SMD:C_0402_1005Metric"",""Qty"":""1"",""DNP"":""""}}]"
,,1.6uF,,Capacitor_SMD:C_0402_1005Metric,1,C48,No,MFG + Value + Footprint + DNP (MPN blank),117,"[{""source_row"":117,""values"":{""Reference"":""C48"",""MF"":"""",""MPN"":"""",""Value"":""1.6uF"",""Datasheet"":"""",""Footprint"":""Capacitor_SMD:C_0402_1005Metric"",""Qty"":""1"",""DNP"":""""}}]"
,,33pF,,Capacitor_SMD:C_0402_1005Metric,1,C49,No,MFG + Value + Footprint + DNP (MPN blank),116,"[{""source_row"":116,""values"":{""Reference"":""C49"",""MF"":"""",""MPN"":"""",""Value"":""33pF"",""Datasheet"":"""",""Footprint"":""Capacitor_SMD:C_0402_1005Metric"",""Qty"":""1"",""DNP"":""""}}]"
,,1pF,,Capacitor_SMD:C_0402_1005Metric,2,"C51, C53",No,MFG + Value + Footprint + DNP (MPN blank),"112, 114","[{""source_row"":112,""values"":{""Reference"":""C53"",""MF"":"""",""MPN"":"""",""Value"":""1pF"",""Datasheet"":"""",""Footprint"":""Capacitor_SMD:C_0402_1005Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":114,""values"":{""Reference"":""C51"",""MF"":"""",""MPN"":"""",""Value"":""1pF"",""Datasheet"":"""",""Footprint"":""Capacitor_SMD:C_0402_1005Metric"",""Qty"":""1"",""DNP"":""""}}]"
