MFG,MPN,Value,Datasheet,Footprint,Quantity,Reference,DNP,Grouping Basis,Source Rows,Source Data JSON
TDK,MPZ0603S121HT000,FerriteBead,,Inductor_SMD:L_0201_0603Metric,2,"FB1, FB2",No,MFG + MPN + DNP,"8, 9","[{""source_row"":8,""values"":{""Reference"":""FB2"",""MF"":""TDK"",""MPN"":""MPZ0603S121HT000"",""Value"":""FerriteBead"",""Datasheet"":"""",""Footprint"":""Inductor_SMD:L_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":9,""values"":{""Reference"":""FB1"",""MF"":""TDK"",""MPN"":""MPZ0603S121HT000"",""Value"":""FerriteBead"",""Datasheet"":"""",""Footprint"":""Inductor_SMD:L_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}}]"
Mill-Max,0900-0-15-20-76-14-11-0,NFC1,,PogoPin_1P_0900-0-15-20-76-14-11-0:PogoPin_1P_0900-0-15-20-76-14-11-0,2,"J1, J2",No,MFG + MPN + DNP,"88, 89","[{""source_row"":88,""values"":{""Reference"":""J2"",""MF"":""Mill-Max"",""MPN"":""0900-0-15-20-76-14-11-0"",""Value"":""NFC1"",""Datasheet"":"""",""Footprint"":""PogoPin_1P_0900-0-15-20-76-14-11-0:PogoPin_1P_0900-0-15-20-76-14-11-0"",""Qty"":""1"",""DNP"":""""}},{""source_row"":89,""values"":{""Reference"":""J1"",""MF"":""Mill-Max"",""MPN"":""0900-0-15-20-76-14-11-0"",""Value"":""NFC1"",""Datasheet"":"""",""Footprint"":""PogoPin_1P_0900-0-15-20-76-14-11-0:PogoPin_1P_0900-0-15-20-76-14-11-0"",""Qty"":""1"",""DNP"":""""}}]"
Tag-Connect LLC,,TC2050-IDC-NL,,TagConnect_10P_TC2050-IDC-NL:TagConnect_10P_TC2050-IDC-NL,1,J3,No,MFG + Value + Footprint + DNP (MPN blank),18,"[{""source_row"":18,""values"":{""Reference"":""J3"",""MF"":""Tag-Connect LLC"",""MPN"":"""",""Value"":""TC2050-IDC-NL"",""Datasheet"":"""",""Footprint"":""TagConnect_10P_TC2050-IDC-NL:TagConnect_10P_TC2050-IDC-NL"",""Qty"":""1"",""DNP"":""""}}]"
Hirose Electric Co Ltd,,BM28B0.6-6DP_2-0.35V_51_,,BoardConn_6P_BM28B0.6-6DP_2-0.35V_51_:BoardConn_6P_BM28B0.6-6DP_2-0.35V_51_,1,J4,No,MFG + Value + Footprint + DNP (MPN blank),38,"[{""source_row"":38,""values"":{""Reference"":""J4"",""MF"":""Hirose Electric Co Ltd"",""MPN"":"""",""Value"":""BM28B0.6-6DP_2-0.35V_51_"",""Datasheet"":"""",""Footprint"":""BoardConn_6P_BM28B0.6-6DP_2-0.35V_51_:BoardConn_6P_BM28B0.6-6DP_2-0.35V_51_"",""Qty"":""1"",""DNP"":""""}}]"
Molex,781710003,781710003,https://www.molex.com/en-us/products/part-detail-pdf/781710003?display=pdf,SMD_CONN_3P_781710003:SMD_CONN_3P_781710003,1,J5,No,MFG + MPN + DNP,26,"[{""source_row"":26,""values"":{""Reference"":""J5"",""MF"":""Molex"",""MPN"":""781710003"",""Value"":""781710003"",""Datasheet"":""https://www.molex.com/en-us/products/part-detail-pdf/781710003?display=pdf"",""Footprint"":""SMD_CONN_3P_781710003:SMD_CONN_3P_781710003"",""Qty"":""1"",""DNP"":""""}}]"
Molex,104031-0811,104031-0811,,microSD_104031-0811:microSD_104031-0811,1,J6,No,MFG + MPN + DNP,25,"[{""source_row"":25,""values"":{""Reference"":""J6"",""MF"":""Molex"",""MPN"":""104031-0811"",""Value"":""104031-0811"",""Datasheet"":"""",""Footprint"":""microSD_104031-0811:microSD_104031-0811"",""Qty"":""1"",""DNP"":""""}}]"
JST Corporation,SM02B-SURS-TF,SM02B-SURS-TF,,JST_2P_SM02B-SURS-TF:JST_2P_SM02B-SURS-TF,1,J7,No,MFG + MPN + DNP,30,"[{""source_row"":30,""values"":{""Reference"":""J7"",""MF"":""JST Corporation"",""MPN"":""SM02B-SURS-TF"",""Value"":""SM02B-SURS-TF"",""Datasheet"":"""",""Footprint"":""JST_2P_SM02B-SURS-TF:JST_2P_SM02B-SURS-TF"",""Qty"":""1"",""DNP"":""""}}]"
Abracon,AOTA-N160808S-2R2MT,2.2uH,,Inductor_SMD:L_0603_1608Metric,1,L1,No,MFG + MPN + DNP,39,"[{""source_row"":39,""values"":{""Reference"":""L1"",""MF"":""Abracon"",""MPN"":""AOTA-N160808S-2R2MT "",""Value"":""2.2uH"",""Datasheet"":"""",""Footprint"":""Inductor_SMD:L_0603_1608Metric"",""Qty"":""1"",""DNP"":""""}}]"
Wurth Electronics,744235900,WE-CNSW_1812,,CMC_744235900:CMC_744235900,1,L2,No,MFG + MPN + DNP,87,"[{""source_row"":87,""values"":{""Reference"":""L2"",""MF"":""Wurth Electronics"",""MPN"":""744235900"",""Value"":""WE-CNSW_1812"",""Datasheet"":"""",""Footprint"":""CMC_744235900:CMC_744235900"",""Qty"":""1"",""DNP"":""""}}]"
Taiyo Yuden,LSCNB1608HKT1R0MD,1uH,,Inductor_SMD:L_0603_1608Metric,1,L3,No,MFG + MPN + DNP,19,"[{""source_row"":19,""values"":{""Reference"":""L3"",""MF"":""Taiyo Yuden"",""MPN"":""LSCNB1608HKT1R0MD"",""Value"":""1uH"",""Datasheet"":"""",""Footprint"":""Inductor_SMD:L_0603_1608Metric"",""Qty"":""1"",""DNP"":""""}}]"
Murata,DFE18SAN1R0ME0L,1uH,,Inductor_SMD:L_0603_1608Metric,1,L4,No,MFG + MPN + DNP,24,"[{""source_row"":24,""values"":{""Reference"":""L4"",""MF"":""Murata"",""MPN"":""DFE18SAN1R0ME0L"",""Value"":""1uH"",""Datasheet"":"""",""Footprint"":""Inductor_SMD:L_0603_1608Metric"",""Qty"":""1"",""DNP"":""""}}]"
Diodes,DMN2990UFO-7B,NMOS,,NMOS_DMN2990UFO:X2-DFN0604-3_DMN2990UFO,4,"Q1, Q2, Q3, Q4",No,MFG + MPN + DNP,"32, 33, 34, 35","[{""source_row"":32,""values"":{""Reference"":""Q4"",""MF"":""Diodes"",""MPN"":""DMN2990UFO-7B"",""Value"":""NMOS"",""Datasheet"":"""",""Footprint"":""NMOS_DMN2990UFO:X2-DFN0604-3_DMN2990UFO"",""Qty"":""1"",""DNP"":""""}},{""source_row"":33,""values"":{""Reference"":""Q3"",""MF"":""Diodes"",""MPN"":""DMN2990UFO-7B"",""Value"":""NMOS"",""Datasheet"":"""",""Footprint"":""NMOS_DMN2990UFO:X2-DFN0604-3_DMN2990UFO"",""Qty"":""1"",""DNP"":""""}},{""source_row"":34,""values"":{""Reference"":""Q2"",""MF"":""Diodes"",""MPN"":""DMN2990UFO-7B"",""Value"":""NMOS"",""Datasheet"":"""",""Footprint"":""NMOS_DMN2990UFO:X2-DFN0604-3_DMN2990UFO"",""Qty"":""1"",""DNP"":""""}},{""source_row"":35,""values"":{""Reference"":""Q1"",""MF"":""Diodes"",""MPN"":""DMN2990UFO-7B"",""Value"":""NMOS"",""Datasheet"":"""",""Footprint"":""NMOS_DMN2990UFO:X2-DFN0604-3_DMN2990UFO"",""Qty"":""1"",""DNP"":""""}}]"
,,100R,,Resistor_SMD:R_0201_0603Metric,11,"R1, R2, R5, R6, R7, R8, R17, R18, R26, R35, R44",No,MFG + Value + Footprint + DNP (MPN blank),"43, 52, 61, 69, 70, 79, 80, 81, 82, 85, 86","[{""source_row"":43,""values"":{""Reference"":""R44"",""MF"":"""",""MPN"":"""",""Value"":""100R"",""Datasheet"":"""",""Footprint"":""Resistor_SMD:R_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":52,""values"":{""Reference"":""R35"",""MF"":"""",""MPN"":"""",""Value"":""100R"",""Datasheet"":"""",""Footprint"":""Resistor_SMD:R_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":61,""values"":{""Reference"":""R26"",""MF"":"""",""MPN"":"""",""Value"":""100R"",""Datasheet"":"""",""Footprint"":""Resistor_SMD:R_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":69,""values"":{""Reference"":""R18"",""MF"":"""",""MPN"":"""",""Value"":""100R"",""Datasheet"":"""",""Footprint"":""Resistor_SMD:R_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":70,""values"":{""Reference"":""R17"",""MF"":"""",""MPN"":"""",""Value"":""100R"",""Datasheet"":"""",""Footprint"":""Resistor_SMD:R_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":79,""values"":{""Reference"":""R8"",""MF"":"""",""MPN"":"""",""Value"":""100R"",""Datasheet"":"""",""Footprint"":""Resistor_SMD:R_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":80,""values"":{""Reference"":""R7"",""MF"":"""",""MPN"":"""",""Value"":""100R"",""Datasheet"":"""",""Footprint"":""Resistor_SMD:R_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":81,""values"":{""Reference"":""R6"",""MF"":"""",""MPN"":"""",""Value"":""100R"",""Datasheet"":"""",""Footprint"":""Resistor_SMD:R_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":82,""values"":{""Reference"":""R5"",""MF"":"""",""MPN"":"""",""Value"":""100R"",""Datasheet"":"""",""Footprint"":""Resistor_SMD:R_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":85,""values"":{""Reference"":""R2"",""MF"":"""",""MPN"":"""",""Value"":""100R"",""Datasheet"":"""",""Footprint"":""Resistor_SMD:R_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":86,""values"":{""Reference"":""R1"",""MF"":"""",""MPN"":"""",""Value"":""100R"",""Datasheet"":"""",""Footprint"":""Resistor_SMD:R_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}}]"
,,4K7,,Resistor_SMD:R_0201_0603Metric,2,"R3, R4",No,MFG + Value + Footprint + DNP (MPN blank),"83, 84","[{""source_row"":83,""values"":{""Reference"":""R4"",""MF"":"""",""MPN"":"""",""Value"":""4K7"",""Datasheet"":"""",""Footprint"":""Resistor_SMD:R_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":84,""values"":{""Reference"":""R3"",""MF"":"""",""MPN"":"""",""Value"":""4K7"",""Datasheet"":"""",""Footprint"":""Resistor_SMD:R_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}}]"
,,2R2,,Resistor_SMD:R_0201_0603Metric,1,R9,No,MFG + Value + Footprint + DNP (MPN blank),78,"[{""source_row"":78,""values"":{""Reference"":""R9"",""MF"":"""",""MPN"":"""",""Value"":""2R2"",""Datasheet"":"""",""Footprint"":""Resistor_SMD:R_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}}]"
,,10K,,Resistor_SMD:R_0201_0603Metric,3,"R10, R12, R23",No,MFG + Value + Footprint + DNP (MPN blank),"64, 75, 77","[{""source_row"":64,""values"":{""Reference"":""R23"",""MF"":"""",""MPN"":"""",""Value"":""10K"",""Datasheet"":"""",""Footprint"":""Resistor_SMD:R_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":75,""values"":{""Reference"":""R12"",""MF"":"""",""MPN"":"""",""Value"":""10K"",""Datasheet"":"""",""Footprint"":""Resistor_SMD:R_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":77,""values"":{""Reference"":""R10"",""MF"":"""",""MPN"":"""",""Value"":""10K"",""Datasheet"":"""",""Footprint"":""Resistor_SMD:R_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}}]"
,,15.4k,,Resistor_SMD:R_0201_0603Metric,1,R11,No,MFG + Value + Footprint + DNP (MPN blank),76,"[{""source_row"":76,""values"":{""Reference"":""R11"",""MF"":"""",""MPN"":"""",""Value"":""15.4k"",""Datasheet"":"""",""Footprint"":""Resistor_SMD:R_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}}]"
,,0.01R,,Resistor_SMD:R_0402_1005Metric,1,R13,No,MFG + Value + Footprint + DNP (MPN blank),74,"[{""source_row"":74,""values"":{""Reference"":""R13"",""MF"":"""",""MPN"":"""",""Value"":""0.01R"",""Datasheet"":"""",""Footprint"":""Resistor_SMD:R_0402_1005Metric"",""Qty"":""1"",""DNP"":""""}}]"
,,511k,,Resistor_SMD:R_0201_0603Metric,1,R14,No,MFG + Value + Footprint + DNP (MPN blank),73,"[{""source_row"":73,""values"":{""Reference"":""R14"",""MF"":"""",""MPN"":"""",""Value"":""511k"",""Datasheet"":"""",""Footprint"":""Resistor_SMD:R_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}}]"
,,91k,,Resistor_SMD:R_0201_0603Metric,1,R15,No,MFG + Value + Footprint + DNP (MPN blank),72,"[{""source_row"":72,""values"":{""Reference"":""R15"",""MF"":"""",""MPN"":"""",""Value"":""91k"",""Datasheet"":"""",""Footprint"":""Resistor_SMD:R_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}}]"
,,1M,,Resistor_SMD:R_0201_0603Metric,1,R16,No,MFG + Value + Footprint + DNP (MPN blank),71,"[{""source_row"":71,""values"":{""Reference"":""R16"",""MF"":"""",""MPN"":"""",""Value"":""1M"",""Datasheet"":"""",""Footprint"":""Resistor_SMD:R_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}}]"
,,1K,,Resistor_SMD:R_0201_0603Metric,1,R19,No,MFG + Value + Footprint + DNP (MPN blank),68,"[{""source_row"":68,""values"":{""Reference"":""R19"",""MF"":"""",""MPN"":"""",""Value"":""1K"",""Datasheet"":"""",""Footprint"":""Resistor_SMD:R_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}}]"
,,470R,,Resistor_SMD:R_0201_0603Metric,3,"R20, R21, R22",No,MFG + Value + Footprint + DNP (MPN blank),"65, 66, 67","[{""source_row"":65,""values"":{""Reference"":""R22"",""MF"":"""",""MPN"":"""",""Value"":""470R"",""Datasheet"":"""",""Footprint"":""Resistor_SMD:R_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":66,""values"":{""Reference"":""R21"",""MF"":"""",""MPN"":"""",""Value"":""470R"",""Datasheet"":"""",""Footprint"":""Resistor_SMD:R_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":67,""values"":{""Reference"":""R20"",""MF"":"""",""MPN"":"""",""Value"":""470R"",""Datasheet"":"""",""Footprint"":""Resistor_SMD:R_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}}]"
,,100K,,Resistor_SMD:R_0201_0603Metric,2,"R24, R25",No,MFG + Value + Footprint + DNP (MPN blank),"62, 63","[{""source_row"":62,""values"":{""Reference"":""R25"",""MF"":"""",""MPN"":"""",""Value"":""100K"",""Datasheet"":"""",""Footprint"":""Resistor_SMD:R_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":63,""values"":{""Reference"":""R24"",""MF"":"""",""MPN"":"""",""Value"":""100K"",""Datasheet"":"""",""Footprint"":""Resistor_SMD:R_0201_0603Metric"",""Qty"":""1"",""DNP"":""""}}]"
,,100K Pulse-rated,,Resistor_SMD:R_0402_1005Metric,6,"R27, R28, R29, R30, R33, R34",No,MFG + Value + Footprint + DNP (MPN blank),"53, 54, 57, 58, 59, 60","[{""source_row"":53,""values"":{""Reference"":""R34"",""MF"":"""",""MPN"":"""",""Value"":""100K Pulse-rated"",""Datasheet"":"""",""Footprint"":""Resistor_SMD:R_0402_1005Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":54,""values"":{""Reference"":""R33"",""MF"":"""",""MPN"":"""",""Value"":""100K Pulse-rated"",""Datasheet"":"""",""Footprint"":""Resistor_SMD:R_0402_1005Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":57,""values"":{""Reference"":""R30"",""MF"":"""",""MPN"":"""",""Value"":""100K Pulse-rated"",""Datasheet"":"""",""Footprint"":""Resistor_SMD:R_0402_1005Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":58,""values"":{""Reference"":""R29"",""MF"":"""",""MPN"":"""",""Value"":""100K Pulse-rated"",""Datasheet"":"""",""Footprint"":""Resistor_SMD:R_0402_1005Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":59,""values"":{""Reference"":""R28"",""MF"":"""",""MPN"":"""",""Value"":""100K Pulse-rated"",""Datasheet"":"""",""Footprint"":""Resistor_SMD:R_0402_1005Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":60,""values"":{""Reference"":""R27"",""MF"":"""",""MPN"":"""",""Value"":""100K Pulse-rated"",""Datasheet"":"""",""Footprint"":""Resistor_SMD:R_0402_1005Metric"",""Qty"":""1"",""DNP"":""""}}]"
,,500M,,Resistor_SMD:R_0402_1005Metric,2,"R31, R32",No,MFG + Value + Footprint + DNP (MPN blank),"55, 56","[{""source_row"":55,""values"":{""Reference"":""R32"",""MF"":"""",""MPN"":"""",""Value"":""500M"",""Datasheet"":"""",""Footprint"":""Resistor_SMD:R_0402_1005Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":56,""values"":{""Reference"":""R31"",""MF"":"""",""MPN"":"""",""Value"":""500M"",""Datasheet"":"""",""Footprint"":""Resistor_SMD:R_0402_1005Metric"",""Qty"":""1"",""DNP"":""""}}]"
,,2M,,Resistor_SMD:R_0402_1005Metric,1,R36,No,MFG + Value + Footprint + DNP (MPN blank),51,"[{""source_row"":51,""values"":{""Reference"":""R36"",""MF"":"""",""MPN"":"""",""Value"":""2M"",""Datasheet"":"""",""Footprint"":""Resistor_SMD:R_0402_1005Metric"",""Qty"":""1"",""DNP"":""""}}]"
,,10M,,Resistor_SMD:R_0402_1005Metric,3,"R37, R38, R39",No,MFG + Value + Footprint + DNP (MPN blank),"48, 49, 50","[{""source_row"":48,""values"":{""Reference"":""R39"",""MF"":"""",""MPN"":"""",""Value"":""10M"",""Datasheet"":"""",""Footprint"":""Resistor_SMD:R_0402_1005Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":49,""values"":{""Reference"":""R38"",""MF"":"""",""MPN"":"""",""Value"":""10M"",""Datasheet"":"""",""Footprint"":""Resistor_SMD:R_0402_1005Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":50,""values"":{""Reference"":""R37"",""MF"":"""",""MPN"":"""",""Value"":""10M"",""Datasheet"":"""",""Footprint"":""Resistor_SMD:R_0402_1005Metric"",""Qty"":""1"",""DNP"":""""}}]"
,,300k,,Resistor_SMD:R_0402_1005Metric,2,"R40, R41",No,MFG + Value + Footprint + DNP (MPN blank),"46, 47","[{""source_row"":46,""values"":{""Reference"":""R41"",""MF"":"""",""MPN"":"""",""Value"":""300k"",""Datasheet"":"""",""Footprint"":""Resistor_SMD:R_0402_1005Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":47,""values"":{""Reference"":""R40"",""MF"":"""",""MPN"":"""",""Value"":""300k"",""Datasheet"":"""",""Footprint"":""Resistor_SMD:R_0402_1005Metric"",""Qty"":""1"",""DNP"":""""}}]"
,,0R,,Resistor_SMD:R_0402_1005Metric,2,"R42, R43",No,MFG + Value + Footprint + DNP (MPN blank),"44, 45","[{""source_row"":44,""values"":{""Reference"":""R43"",""MF"":"""",""MPN"":"""",""Value"":""0R"",""Datasheet"":"""",""Footprint"":""Resistor_SMD:R_0402_1005Metric"",""Qty"":""1"",""DNP"":""""}},{""source_row"":45,""values"":{""Reference"":""R42"",""MF"":"""",""MPN"":"""",""Value"":""0R"",""Datasheet"":"""",""Footprint"":""Resistor_SMD:R_0402_1005Metric"",""Qty"":""1"",""DNP"":""""}}]"
Panasonic,EVP-AVAA1A,EVP-AVAA1A,EVP-AVAA1A,SPST_RA_side_EVP-AVAA1A:SPST_RA_side_EVP-AVAA1A,1,SW1,No,MFG + MPN + DNP,21,"[{""source_row"":21,""values"":{""Reference"":""SW1"",""MF"":""Panasonic"",""MPN"":""EVP-AVAA1A"",""Value"":""EVP-AVAA1A"",""Datasheet"":""EVP-AVAA1A"",""Footprint"":""SPST_RA_side_EVP-AVAA1A:SPST_RA_side_EVP-AVAA1A"",""Qty"":""1"",""DNP"":""""}}]"
Fanstel,BM20BC,BM20BC,https://static1.squarespace.com/static/561459a2e4b0b39f5cefa12e/t/6a0e281bd2e50744f9fe658a/1779312667495/BM20C+Product+Specifications.pdf,MCU_BM20BC:BM20BC,1,U1,No,MFG + MPN + DNP,31,"[{""source_row"":31,""values"":{""Reference"":""U1"",""MF"":""Fanstel"",""MPN"":""BM20BC"",""Value"":""BM20BC"",""Datasheet"":""https://static1.squarespace.com/static/561459a2e4b0b39f5cefa12e/t/6a0e281bd2e50744f9fe658a/1779312667495/BM20C+Product+Specifications.pdf"",""Footprint"":""MCU_BM20BC:BM20BC"",""Qty"":""1"",""DNP"":""""}}]"
Texas Instruments,TPS62840YBGR,TPS62840YBGR,,REG_ADJ_TPS62840YBGR:DSBGA8_TPS62840YBGR,1,U2,No,MFG + MPN + DNP,7,"[{""source_row"":7,""values"":{""Reference"":""U2"",""MF"":""Texas Instruments"",""MPN"":""TPS62840YBGR"",""Value"":""TPS62840YBGR"",""Datasheet"":"""",""Footprint"":""REG_ADJ_TPS62840YBGR:DSBGA8_TPS62840YBGR"",""Qty"":""1"",""DNP"":""""}}]"
Texas Instruments,TPS628438YKA,TPS628438YKA,https://www.ti.com/lit/ds/symlink/tps62843.pdf,Package_BGA:Texas_DSBGA-6_0.757x1.01mm_Layout2x3_P0.35mm,1,U3,No,MFG + MPN + DNP,6,"[{""source_row"":6,""values"":{""Reference"":""U3"",""MF"":""Texas Instruments"",""MPN"":""TPS628438YKA"",""Value"":""TPS628438YKA"",""Datasheet"":""https://www.ti.com/lit/ds/symlink/tps62843.pdf"",""Footprint"":""Package_BGA:Texas_DSBGA-6_0.757x1.01mm_Layout2x3_P0.35mm"",""Qty"":""1"",""DNP"":""""}}]"
Texas Instruments,BQ27426YZFR,BQ27426YZFR,https://www.ti.com/lit/ds/symlink/bq27426.pdf?ts=1781766751702&ref_url=https%253A%252F%252Fwww.google.com%252F,FuelGauge_BQ27426YZFR:DSBGA9_BQ27426YZFR,1,U4,No,MFG + MPN + DNP,5,"[{""source_row"":5,""values"":{""Reference"":""U4"",""MF"":""Texas Instruments"",""MPN"":""BQ27426YZFR"",""Value"":""BQ27426YZFR"",""Datasheet"":""https://www.ti.com/lit/ds/symlink/bq27426.pdf?ts=1781766751702&ref_url=https%253A%252F%252Fwww.google.com%252F"",""Footprint"":""FuelGauge_BQ27426YZFR:DSBGA9_BQ27426YZFR"",""Qty"":""1"",""DNP"":""""}}]"
Texas Instruments,TPS7A2018PYCKR,TPS7A2018PYCKR,https://www.ti.com/lit/ds/symlink/tps7a20.pdf?ts=1781782453161&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252Fde-de%252FTPS7A20%252Fpart-details%252FTPS7A2050PDBVR,LDO_TPS7A2018PYCKR:DSBGA4_TPS7A2018PYCKR,1,U5,No,MFG + MPN + DNP,3,"[{""source_row"":3,""values"":{""Reference"":""U5"",""MF"":""Texas Instruments"",""MPN"":""TPS7A2018PYCKR"",""Value"":""TPS7A2018PYCKR"",""Datasheet"":""https://www.ti.com/lit/ds/symlink/tps7a20.pdf?ts=1781782453161&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252Fde-de%252FTPS7A20%252Fpart-details%252FTPS7A2050PDBVR"",""Footprint"":""LDO_TPS7A2018PYCKR:DSBGA4_TPS7A2018PYCKR"",""Qty"":""1"",""DNP"":""""}}]"
Texas Instruments,BQ21088YBGR,BQ21088YBGR,https://www.ti.com/lit/ds/symlink/bq21088.pdf?ts=1781705023029,BMIC_BQ21088YBGR:DSBGA8_BQ21088YBGR,1,U6,No,MFG + MPN + DNP,36,"[{""source_row"":36,""values"":{""Reference"":""U6"",""MF"":""Texas Instruments"",""MPN"":""BQ21088YBGR"",""Value"":""BQ21088YBGR"",""Datasheet"":""https://www.ti.com/lit/ds/symlink/bq21088.pdf?ts=1781705023029"",""Footprint"":""BMIC_BQ21088YBGR:DSBGA8_BQ21088YBGR"",""Qty"":""1"",""DNP"":""""}}]"
Texas Instruments,TPS631010YBGR,TPS631010YBGR,https://www.ti.com/lit/ds/symlink/tps631010.pdf?ts=1781705990335,REG_ADJ_TPS631010YBGR:DSBGA8_TPS631010YBGR,1,U7,No,MFG + MPN + DNP,4,"[{""source_row"":4,""values"":{""Reference"":""U7"",""MF"":""Texas Instruments"",""MPN"":""TPS631010YBGR"",""Value"":""TPS631010YBGR"",""Datasheet"":""https://www.ti.com/lit/ds/symlink/tps631010.pdf?ts=1781705990335"",""Footprint"":""REG_ADJ_TPS631010YBGR:DSBGA8_TPS631010YBGR"",""Qty"":""1"",""DNP"":""""}}]"
Bosch Sensortec,BMA400,BMA400,,IMU_6AX_BMA400:LGA12_BMA400,1,U8,No,MFG + MPN + DNP,37,"[{""source_row"":37,""values"":{""Reference"":""U8"",""MF"":""Bosch Sensortec"",""MPN"":""BMA400"",""Value"":""BMA400"",""Datasheet"":"""",""Footprint"":""IMU_6AX_BMA400:LGA12_BMA400"",""Qty"":""1"",""DNP"":""""}}]"
Texas Instruments,TXU0304DTRR,TXU0304DTRR,,LVL-TRANS_TXU0304DTRR:TXU0304DTRR,1,U9,No,MFG + MPN + DNP,2,"[{""source_row"":2,""values"":{""Reference"":""U9"",""MF"":""Texas Instruments"",""MPN"":""TXU0304DTRR"",""Value"":""TXU0304DTRR"",""Datasheet"":"""",""Footprint"":""LVL-TRANS_TXU0304DTRR:TXU0304DTRR"",""Qty"":""1"",""DNP"":""""}}]"
Micro Crystal,RV-3032-C7-32.768KHZ-2.5PPM-TA-QA,RTC,,RTC_RV-3032-C7-32.768KHZ-2.5PPM-TA-QC:8-WCDFN_RV-3032-C7-32.768KHZ-2.5PPM-TA-QC,1,U10,No,MFG + MPN + DNP,20,"[{""source_row"":20,""values"":{""Reference"":""U10"",""MF"":""Micro Crystal"",""MPN"":""RV-3032-C7-32.768KHZ-2.5PPM-TA-QA"",""Value"":""RTC"",""Datasheet"":"""",""Footprint"":""RTC_RV-3032-C7-32.768KHZ-2.5PPM-TA-QC:8-WCDFN_RV-3032-C7-32.768KHZ-2.5PPM-TA-QC"",""Qty"":""1"",""DNP"":""""}}]"
Macronix,MX25R6435FZAIH0,MX25R6435FZAIH0,"https://www.macronix.com/Lists/Datasheet/Attachments/8868/MX25R6435F,%20Wide%20Range,%2064Mb,%20v1.6.pdf",MEM_NOR64_MX25R6435FZAIH0:USON8_MX25R6435FZAIH0,1,U11,No,MFG + MPN + DNP,23,"[{""source_row"":23,""values"":{""Reference"":""U11"",""MF"":""Macronix"",""MPN"":""MX25R6435FZAIH0"",""Value"":""MX25R6435FZAIH0"",""Datasheet"":""https://www.macronix.com/Lists/Datasheet/Attachments/8868/MX25R6435F,%20Wide%20Range,%2064Mb,%20v1.6.pdf"",""Footprint"":""MEM_NOR64_MX25R6435FZAIH0:USON8_MX25R6435FZAIH0"",""Qty"":""1"",""DNP"":""""}}]"
Texas Instruments,DRV2605LYZFR,DRV2605LYZFR,https://www.snapeda.com/parts/DRV2605LYZFR/Texas%20Instruments/datasheet/,HapticDriver_DRV2605LYZFR:DSBGA9_DRV2605LYZFR,1,U12,No,MFG + MPN + DNP,42,"[{""source_row"":42,""values"":{""Reference"":""U12"",""MF"":""Texas Instruments"",""MPN"":""DRV2605LYZFR"",""Value"":""DRV2605LYZFR"",""Datasheet"":""https://www.snapeda.com/parts/DRV2605LYZFR/Texas%20Instruments/datasheet/"",""Footprint"":""HapticDriver_DRV2605LYZFR:DSBGA9_DRV2605LYZFR"",""Qty"":""1"",""DNP"":""""}}]"
