Standard Manufacturer Name,Manufacturer Part Number,Procurement Variant Group,Source Record ID,Source Manufacturer,Source MPN,Description,Approval Status,Review ID,Approved By,Approved Date,Engineer Notes,Provider,Product URL
TE Connectivity,BAT-HLD-001-THM,PVG-2AEFB3F1CF,PMR-000009,TE Connectivity,BAT-HLD-001-THM,BATT RETAINER COIN 20MM PC PIN,Approved for Parts Master release review,REV-2D64D8EC14,Ken,04-Aug,Packaging difference only,DigiKey,https://www.digikey.com/en/products/detail/te-connectivity-linx/BAT-HLD-001-THM/3044009
TE Connectivity,BAT-HLD-001-THM-TR,PVG-2AEFB3F1CF,PMR-000009,TE Connectivity,BAT-HLD-001-THM,BATT RETAINER COIN 20MM PC PIN,Approved for Parts Master release review,REV-2D64D8EC14,Ken,04-Aug,Packaging difference only,DigiKey,https://www.digikey.com/en/products/detail/te-connectivity-linx/BAT-HLD-001-THM-TR/22570133
Texas Instruments,ADS1232IPW,PVG-6404C9368E,PMR-000006,TI,ADS1232IPW,IC ADC 24BIT 24-TSSOP,Approved for Parts Master release review,REV-B7413D4183,Ken,04-Aug,Packaging difference only,DigiKey,https://www.digikey.com/en/products/detail/texas-instruments/ADS1232IPW/857691
Texas Instruments,ADS1232IPWG4,PVG-6404C9368E,PMR-000006,TI,ADS1232IPW,IC ADC 24BIT 24-TSSOP,Approved for Parts Master release review,REV-B7413D4183,Ken,04-Aug,Packaging difference only,DigiKey,https://www.digikey.com/en/products/detail/texas-instruments/ADS1232IPWG4/1689137
Texas Instruments,ADS1232IPWR,PVG-6404C9368E,PMR-000006,TI,ADS1232IPW,IC ADC 24BIT 24-TSSOP,Approved for Parts Master release review,REV-B7413D4183,Ken,04-Aug,Packaging difference only,DigiKey,https://www.digikey.com/en/products/detail/texas-instruments/ADS1232IPWR/1689138
Texas Instruments,ADS1232IPWRG4,PVG-6404C9368E,PMR-000006,TI,ADS1232IPW,IC ADC 24BIT 24-TSSOP,Approved for Parts Master release review,REV-B7413D4183,Ken,04-Aug,Packaging difference only,DigiKey,https://www.digikey.com/en/products/detail/texas-instruments/ADS1232IPWRG4/1689139
