Standard Manufacturer Name,Manufacturer Alias,Review ID,Record ID,Approved By,Approved Date,Evidence
TE Connectivity,TE Connectivity Linx,REV-2D64D8EC14,PMR-000009,Ken,04-Aug,Accepted engineering review
Texas Instruments,TI,REV-B7413D4183,PMR-000006,Ken,04-Aug,Accepted engineering review
