Record ID,Manufacturer,Manufacturer Part Number,Provider,Status,Message,Search Stage,Candidate Count,Knowledge Base Paths,PDCPartProfile Path
PMR-000006,TI,ADS1232IPW,DigiKey,Multiple Candidates,Manufacturer unresolved: Manufacturer could not be resolved uniquely; best candidate was '3G Shielding Specialties LP'.,MPN-only fallback,4,,
PMR-000009,TE Connectivity,BAT-HLD-001-THM,DigiKey,Multiple Candidates,"DigiKey 404: 
            {
                ""type"": ""https://tools.ietf.org/html/rfc7231#section-6.5.4"",
                ""title"": ""Not Found"",
                ""status"": 404,
                ""detail"": ""Requested Product bat-hld-001-thm Not Found"",
                ""instance"": """",
                ""correlationId"": ""74f22451-d71a-4670-e686-bcec310b004b"",
                ""errors"": []
            }
        ",MPN-only fallback,2,,
